smiles,gap,mol_weight,exact_mass,polarizability,heat_formation,subset
CC(=O)NC1(C)CCC1,14.103,127.18422000000008,127.099714041,14.521235,-236.47027,PQR–QM9 overlap
CC(=O)NC1CC1,13.748,99.13106000000003,99.068413913,11.147118,-142.73164,PQR–QM9 overlap
CC(=O)NC1CCC1,14.029,113.15764000000006,113.084063977,12.817126,-211.32318,PQR–QM9 overlap
CC(=O)NC1CCCC1,14.098,127.18422000000008,127.099714041,14.605689,-285.9552,PQR–QM9 overlap
CC(=O)NCC(C)(C)C,14.079,129.20010000000005,129.115364105,15.06914,-332.11253,PQR–QM9 overlap
CC(=O)OC(C)(C)C,14.866,116.15828000000003,116.083729624,12.612738,-507.92116,PQR–QM9 overlap
CC(=O)OC1(C)CC1,11.265,114.14240000000004,114.06807956,12.260345,-342.86582,PQR–QM9 overlap
CC(=O)OC1(C)CCC1,11.479,128.16898000000006,128.083729624,13.950406,-419.29403,PQR–QM9 overlap
CC(=O)OC1CC1,14.582,100.11582000000004,100.052429496,10.49145,-306.36496,PQR–QM9 overlap
CC(=O)OC1CCC1,11.605,114.14240000000004,114.06807956,12.189186,-381.14323,PQR–QM9 overlap
CC(=O)OC1CCCC1,11.65,128.16898000000006,128.083729624,13.980399,-461.94003,PQR–QM9 overlap
CC(=O)OCC(C)(C)C,14.971,130.18486000000004,130.099379688,14.494612,-507.29634,PQR–QM9 overlap
CC(=O)OCCO,14.814,104.10452000000004,104.047344116,9.636376,-592.896,PQR–QM9 overlap
CC(=O)c1ccc[nH]1,12.246,109.12588000000004,109.052763849,12.321483,-65.37876,PQR–QM9 overlap
CC(=O)c1ccccc1,9.512,120.14852000000003,120.057514876,14.393727,-82.40119,PQR–QM9 overlap
CC(=O)c1ccccn1,12.375,121.13658000000004,121.052763849,13.637124,-39.42972,PQR–QM9 overlap
CC(=O)c1cccn1C,12.198,123.15246000000003,123.068413913,14.177035,-84.17019,PQR–QM9 overlap
CC(=O)c1cccnc1,12.404,121.13658000000004,121.052763849,13.628137,-44.92329,PQR–QM9 overlap
CC(=O)c1ccco1,9.31,110.11064000000005,110.036779432,11.70932,-198.30112,PQR–QM9 overlap
CC(=O)c1ccncc1,12.457999999999998,121.13658000000004,121.052763849,13.593916,-38.38139,PQR–QM9 overlap
CC(C)(C)C,15.369,72.14878000000003,72.093900384,9.92193,-148.64815,PQR–QM9 overlap
CC(C)C,18.571,58.12219999999998,58.078250319999995,8.11739,-121.11629,PQR–QM9 overlap
CC1(C)CC1,16.079,70.13290000000002,70.07825032,9.539862,-5.90373,PQR–QM9 overlap
CC1(C)CC1(C)C,15.678,98.18606000000008,98.109550448,13.190804,-54.50257,PQR–QM9 overlap
CC1(C)CC=CC1,10.456,96.17018000000006,96.093900384,12.770257,-31.33736,PQR–QM9 overlap
CC1(C)CCCC1,14.408,98.18606000000008,98.109550448,13.03889,-137.05897,PQR–QM9 overlap
CC1(C)CCCCC1,14.487,112.21264000000008,112.125200512,14.920168,-164.35468,PQR–QM9 overlap
CC1(C)CCOCO1,12.167,116.15828000000006,116.083729624,12.54767,-429.89119,PQR–QM9 overlap
CC1(C)COC=N1,14.019000000000002,99.13106000000003,99.068413913,10.853781,-146.53347,PQR–QM9 overlap
CC1(C)COCCO1,11.54,116.15828000000006,116.083729624,12.54113,-411.30972,PQR–QM9 overlap
CC1(C)COCOC1,12.231,116.15828000000006,116.083729624,12.511584,-414.66465,PQR–QM9 overlap
CC1(O)CC1,15.823999999999998,72.10572000000003,72.057514876,8.31792,-150.43866,PQR–QM9 overlap
CC1(O)CCC1,16.461,86.13230000000004,86.07316494,10.027165,-224.51976,PQR–QM9 overlap
CC1=C(C)CCC1,9.992,96.17018000000006,96.093900384,12.976539,-59.17564,PQR–QM9 overlap
CC1=CC(=O)CC1,12.947,96.12712,96.057514876,11.445548,-150.10571,PQR–QM9 overlap
CC1=CC(=O)CCC1,9.825,110.15370000000006,110.07316494,13.308344,-187.43143,PQR–QM9 overlap
CC1=CC(=O)OCC1,13.175999999999998,112.12652000000004,112.052429496,12.092286,-325.95523,PQR–QM9 overlap
CC1=CCCC1,10.223,82.14360000000005,82.07825032,11.071827,-19.96983,PQR–QM9 overlap
CC1=CCCC1(C)C,10.549,110.19676000000008,110.109550448,14.69961,-70.07081,PQR–QM9 overlap
CC1=CCCCC1,10.292,96.17018000000006,96.093900384,12.942299,-55.32352,PQR–QM9 overlap
CC1=NCCO1,10.628,85.10448000000004,85.052763849,9.095333,-134.60595,PQR–QM9 overlap
CC1CC(=O)NC(=O)C1,13.885,127.14116000000004,127.063328533,13.162886,-442.09659,PQR–QM9 overlap
CC1CC1,13.116,56.10632,56.062600256,7.715227,23.1795,PQR–QM9 overlap
CC1CCC1,17.61,70.13290000000002,70.07825032,9.434538,-36.6684,PQR–QM9 overlap
CC1CCCC1,14.484,84.15948000000006,84.093900384,11.244641,-110.37339,PQR–QM9 overlap
CC1CCCCC1,14.613,98.18606000000008,98.109550448,13.126345,-141.78142,PQR–QM9 overlap
